MOID;NAME;POPULATION;KOATUU
2,68339E+18;Рудненська громада;6522;4610165500
2,68339E+18;Винниківська громада;15723;4610160300
2,68339E+18;Брюховицька громада;5772;4610166300
2,68339E+18;Рясне-Руська громада;2161;4625887501
2,68339E+18;Малехівська громада;2336;4622785701
2,68339E+18;Грядівська громада;1627;4622782501
2,68339E+18;Грибовицька громада;2340;4622782301
2,68339E+18;Дублянська громада;11794;4622710200
2,68339E+18;Зашківська громада;2396;4622784101
2,68339E+18;Лисиничівська громада;5188;4623683801
2,10521E+18;Шевченківський район;146000;4610137500
2,10521E+18;Личаківський район;94000;4610137200
2,10521E+18;Сихівський район;165000;4610136800
2,10521E+18;Франківський район;182000;4610136900
2,10521E+18;Залізничний район;132000;4610136300
2,10521E+18;Галицький район;67000;4610136600
