MOID;NAME;POPULATION;KOATUU
2683390582155380000;Рудненська громада;6522;4610165500
2683390582163770000;Винниківська громада;15723;4610160300
2683390582172160000;Брюховицька громада;5772;4610166300
2683390582172160000;Рясне-Руська громада;2161;4625887501
2683390582172160000;Малехівська громада;2336;4622785701
2683390582172160000;Грядівська громада;1627;4622782501
2683390582180550000;Грибовицька громада;2340;4622782301
2683390582180550000;Дублянська громада;11794;4622710200
2683390582180550000;Зашківська громада;2396;4622784101
2683390582180550000;Лисиничівська громада;5188;4623683801
2105208105154380000;Шевченківський район;146000;4610137500
2105208105162770000;Личаківський район;94000;4610137200
2105208105171160000;Сихівський район;165000;4610136800
2105208105171160000;Франківський район;182000;4610136900
2105208105179550000;Залізничний район;132000;4610136300
2105208105179550000;Галицький район;67000;4610136600
